user_id,date,traffic_source,device_type,region,variant,visited_site,viewed_product,added_to_cart,started_checkout,completed_payment,time_spent_min,session_count
29,2025-01-02 04:00:00,Ads,Desktop,East,A,1,1,0,0,0,17.03,2
30,2025-01-02 05:00:00,Organic,Mobile,East,A,1,1,1,1,1,11.0,1
31,2025-01-02 06:00:00,Ads,Mobile,East,B,1,1,1,1,0,10.33,5
32,2025-01-02 07:00:00,Organic,Desktop,West,A,1,0,0,0,0,7.12,1
33,2025-01-02 08:00:00,Organic,Desktop,South,A,1,1,1,0,0,6.44,5
34,2025-01-02 09:00:00,Referral,Desktop,West,B,1,0,0,0,0,7.3,4
35,2025-01-02 10:00:00,Referral,Mobile,South,B,1,1,1,1,1,10.7,4
36,2025-01-02 11:00:00,Social,Mobile,North,A,1,0,0,0,0,5.52,5
37,2025-01-02 12:00:00,Organic,Desktop,North,A,1,1,1,1,1,5.33,1
38,2025-01-02 13:00:00,Organic,Tablet,South,A,1,1,1,0,0,9.35,3
39,2025-01-02 14:00:00,Social,Desktop,South,B,1,0,0,0,0,8.8,3
40,2025-01-02 15:00:00,Ads,Tablet,South,A,1,1,0,0,0,6.07,2
41,2025-01-02 16:00:00,Organic,Desktop,South,B,1,1,1,1,1,5.27,2
42,2025-01-02 17:00:00,Ads,Desktop,East,A,1,1,0,0,0,11.59,1
43,2025-01-02 18:00:00,Organic,Mobile,West,A,1,1,1,1,0,8.89,4
44,2025-01-02 19:00:00,Referral,Desktop,East,B,1,1,1,1,0,4.59,1
45,2025-01-02 20:00:00,Organic,Desktop,West,A,1,1,0,0,0,4.77,5
46,2025-01-02 21:00:00,Social,Desktop,West,A,1,1,0,0,0,7.1,3
47,2025-01-02 22:00:00,Organic,Mobile,West,A,1,1,1,1,1,9.83,2
48,2025-01-02 23:00:00,Ads,Desktop,East,B,1,1,0,0,0,9.49,1
49,2025-01-03 00:00:00,Ads,Mobile,South,A,1,1,1,0,0,10.83,1
50,2025-01-03 01:00:00,Organic,Desktop,East,A,1,1,1,0,0,4.27,5
51,2025-01-03 02:00:00,Referral,Mobile,East,B,1,0,0,0,0,8.56,4
52,2025-01-03 03:00:00,Social,Desktop,West,B,1,1,0,0,0,11.56,4
53,2025-01-03 04:00:00,Referral,Mobile,North,A,1,1,0,0,0,11.33,3
54,2025-01-03 05:00:00,Referral,Mobile,North,A,1,0,0,0,0,8.9,2
55,2025-01-03 06:00:00,Ads,Mobile,East,B,1,1,1,1,1,13.87,4
56,2025-01-03 07:00:00,Referral,Desktop,West,A,1,1,1,1,1,9.52,4
57,2025-01-03 08:00:00,Organic,Mobile,East,A,1,1,0,0,0,10.61,4
58,2025-01-03 09:00:00,Organic,Mobile,East,B,1,1,1,0,0,8.11,1
59,2025-01-03 10:00:00,Organic,Desktop,South,A,1,1,1,1,1,6.05,4
60,2025-01-03 11:00:00,Organic,Mobile,West,A,1,1,1,1,1,5.81,5
61,2025-01-03 12:00:00,Ads,Tablet,North,B,1,1,0,0,0,8.45,3
62,2025-01-03 13:00:00,Organic,Tablet,North,A,1,1,1,0,0,7.47,4
63,2025-01-03 14:00:00,Social,Desktop,North,A,1,1,0,0,0,3.58,2
64,2025-01-03 15:00:00,Ads,Mobile,East,A,1,1,0,0,0,5.44,1
65,2025-01-03 16:00:00,Organic,Desktop,West,B,1,1,1,0,0,7.2,5
66,2025-01-03 17:00:00,Ads,Mobile,South,A,1,1,0,0,0,9.82,3
67,2025-01-03 18:00:00,Organic,Mobile,North,B,1,1,0,0,0,7.96,1
68,2025-01-03 19:00:00,Social,Mobile,West,B,1,1,1,1,1,7.82,5
69,2025-01-03 20:00:00,Organic,Tablet,North,A,1,1,1,1,0,5.53,1
70,2025-01-03 21:00:00,Referral,Mobile,South,B,1,0,0,0,0,8.06,3
71,2025-01-03 22:00:00,Social,Desktop,West,A,1,0,0,0,0,11.3,3
72,2025-01-03 23:00:00,Organic,Desktop,East,A,1,1,0,0,0,8.39,4
73,2025-01-04 00:00:00,Organic,Mobile,East,A,1,1,0,0,0,4.23,2
74,2025-01-04 01:00:00,Social,Mobile,North,B,1,1,1,1,1,4.87,4
75,2025-01-04 02:00:00,Social,Tablet,North,A,1,0,0,0,0,9.47,1
76,2025-01-04 03:00:00,Social,Desktop,West,A,1,1,0,0,0,7.44,4
77,2025-01-04 04:00:00,Social,Desktop,South,A,1,1,0,0,0,7.81,3
78,2025-01-04 05:00:00,Organic,Mobile,North,B,1,1,0,0,0,6.47,3
79,2025-01-04 06:00:00,Ads,Mobile,West,B,1,1,0,0,0,9.26,3
80,2025-01-04 07:00:00,Organic,Mobile,South,A,1,1,1,1,1,7.25,4
81,2025-01-04 08:00:00,Referral,Mobile,North,A,1,1,1,0,0,7.53,5
82,2025-01-04 09:00:00,Ads,Mobile,North,A,1,1,0,0,0,5.87,4
83,2025-01-04 10:00:00,Organic,Desktop,West,A,1,1,1,1,1,10.3,4
84,2025-01-04 11:00:00,Organic,Mobile,North,B,1,1,0,0,0,7.45,4
85,2025-01-04 12:00:00,Organic,Mobile,East,B,1,1,1,1,1,9.52,4
86,2025-01-04 13:00:00,Organic,Desktop,South,B,1,1,1,1,1,5.02,3
87,2025-01-04 14:00:00,Social,Desktop,South,B,1,0,0,0,0,12.33,2
88,2025-01-04 15:00:00,Ads,Mobile,East,B,1,1,1,0,0,11.19,4
89,2025-01-04 16:00:00,Referral,Desktop,West,B,1,1,0,0,0,3.23,4
90,2025-01-04 17:00:00,Ads,Mobile,East,B,1,1,0,0,0,6.0,2
91,2025-01-04 18:00:00,Organic,Mobile,East,A,1,1,1,1,0,9.19,4
92,2025-01-04 19:00:00,Social,Mobile,South,A,1,1,1,1,1,4.7,2
93,2025-01-04 20:00:00,Social,Desktop,West,A,1,1,1,0,0,7.67,3
94,2025-01-04 21:00:00,Ads,Mobile,North,A,1,1,0,0,0,9.07,5
95,2025-01-04 22:00:00,Social,Mobile,East,A,1,1,1,1,0,7.54,4
96,2025-01-04 23:00:00,Ads,Mobile,East,A,1,1,0,0,0,9.35,5
97,2025-01-05 00:00:00,Ads,Desktop,West,B,1,1,1,1,1,6.27,4
98,2025-01-05 01:00:00,Ads,Mobile,East,A,1,1,1,1,1,2.39,1
99,2025-01-05 02:00:00,Organic,Mobile,West,B,1,1,0,0,0,10.46,1
100,2025-01-05 03:00:00,Organic,Mobile,North,A,1,1,1,1,1,10.44,3
101,2025-01-05 04:00:00,Organic,Mobile,West,B,1,1,1,1,1,14.26,5
102,2025-01-05 05:00:00,Ads,Desktop,North,B,1,1,1,1,1,2.48,5
103,2025-01-05 06:00:00,Organic,Desktop,West,A,1,1,1,1,1,9.88,2
104,2025-01-05 07:00:00,Ads,Mobile,East,A,1,1,1,1,1,3.08,2
105,2025-01-05 08:00:00,Referral,Mobile,North,A,1,0,0,0,0,12.39,4
106,2025-01-05 09:00:00,Organic,Mobile,East,A,1,0,0,0,0,9.22,2
107,2025-01-05 10:00:00,Ads,Mobile,North,A,1,1,1,1,0,5.62,2
108,2025-01-05 11:00:00,Social,Mobile,West,B,1,1,0,0,0,9.95,5
109,2025-01-05 12:00:00,Organic,Desktop,West,A,1,1,0,0,0,6.62,1
110,2025-01-05 13:00:00,Organic,Tablet,West,B,1,1,0,0,0,8.75,5
111,2025-01-05 14:00:00,Organic,Tablet,South,B,1,1,1,1,1,8.51,2
112,2025-01-05 15:00:00,Organic,Desktop,South,B,1,1,0,0,0,12.36,4
113,2025-01-05 16:00:00,Referral,Desktop,North,A,1,0,0,0,0,12.54,1
114,2025-01-05 17:00:00,Social,Desktop,South,A,1,1,0,0,0,6.51,2
115,2025-01-05 18:00:00,Ads,Mobile,West,A,1,1,1,1,1,10.65,2
116,2025-01-05 19:00:00,Referral,Desktop,South,A,1,0,0,0,0,8.89,4
117,2025-01-05 20:00:00,Social,Mobile,South,A,1,1,0,0,0,4.47,4
118,2025-01-05 21:00:00,Organic,Mobile,East,A,1,0,0,0,0,6.26,2
119,2025-01-05 22:00:00,Referral,Desktop,North,B,1,1,0,0,0,13.84,2
120,2025-01-05 23:00:00,Ads,Mobile,North,A,1,1,1,1,1,8.89,5
121,2025-01-06 00:00:00,Social,Mobile,North,B,1,1,0,0,0,10.5,3
122,2025-01-06 01:00:00,Referral,Tablet,South,B,1,1,1,0,0,7.47,4
123,2025-01-06 02:00:00,Organic,Mobile,West,A,1,1,1,1,1,6.65,4
124,2025-01-06 03:00:00,Organic,Mobile,East,A,1,1,1,1,1,8.07,5
125,2025-01-06 04:00:00,Organic,Tablet,North,A,1,1,0,0,0,7.33,1
126,2025-01-06 05:00:00,Ads,Desktop,South,A,1,1,1,0,0,4.27,1
127,2025-01-06 06:00:00,Social,Desktop,West,A,1,1,0,0,0,5.49,1
128,2025-01-06 07:00:00,Referral,Mobile,East,A,1,1,0,0,0,9.77,4
129,2025-01-06 08:00:00,Organic,Mobile,East,B,1,0,0,0,0,7.05,3
130,2025-01-06 09:00:00,Ads,Desktop,North,B,1,1,0,0,0,8.06,3
131,2025-01-06 10:00:00,Ads,Desktop,North,B,1,1,1,1,1,8.59,5
132,2025-01-06 11:00:00,Organic,Desktop,West,B,1,0,0,0,0,8.78,1
133,2025-01-06 12:00:00,Organic,Mobile,South,B,1,0,0,0,0,10.87,1
134,2025-01-06 13:00:00,Organic,Mobile,West,B,1,1,0,0,0,5.25,2
135,2025-01-06 14:00:00,Referral,Tablet,North,A,1,1,0,0,0,9.43,5
136,2025-01-06 15:00:00,Organic,Mobile,West,A,1,1,1,0,0,9.89,5
137,2025-01-06 16:00:00,Ads,Desktop,South,A,1,1,0,0,0,10.46,4
138,2025-01-06 17:00:00,Social,Mobile,East,B,1,1,0,0,0,4.47,4
139,2025-01-06 18:00:00,Ads,Desktop,East,B,1,1,0,0,0,8.64,5
140,2025-01-06 19:00:00,Referral,Tablet,East,B,1,0,0,0,0,12.29,3
141,2025-01-06 20:00:00,Referral,Desktop,East,A,1,1,1,0,0,7.75,5
142,2025-01-06 21:00:00,Organic,Mobile,North,A,1,0,0,0,0,9.21,3
143,2025-01-06 22:00:00,Ads,Desktop,North,A,1,1,1,0,0,9.95,4
144,2025-01-06 23:00:00,Organic,Desktop,South,B,1,1,1,0,0,5.44,5
145,2025-01-07 00:00:00,Organic,Mobile,South,B,1,1,1,1,1,12.58,3
146,2025-01-07 01:00:00,Organic,Desktop,South,B,1,0,0,0,0,9.25,2
147,2025-01-07 02:00:00,Ads,Desktop,South,A,1,1,0,0,0,9.3,2
148,2025-01-07 03:00:00,Ads,Desktop,West,B,1,1,0,0,0,3.84,5
149,2025-01-07 04:00:00,Organic,Desktop,South,A,1,0,0,0,0,9.99,1
150,2025-01-07 05:00:00,Organic,Mobile,East,A,1,1,0,0,0,9.27,5
151,2025-01-07 06:00:00,Referral,Mobile,East,A,1,1,0,0,0,12.06,4
152,2025-01-07 07:00:00,Organic,Mobile,East,A,1,0,0,0,0,7.22,4
153,2025-01-07 08:00:00,Organic,Tablet,West,A,1,0,0,0,0,5.53,2
154,2025-01-07 09:00:00,Ads,Desktop,South,A,1,1,0,0,0,6.29,3
155,2025-01-07 10:00:00,Referral,Desktop,East,A,1,1,1,0,0,6.74,2
156,2025-01-07 11:00:00,Organic,Mobile,East,B,1,1,0,0,0,5.2,3
157,2025-01-07 12:00:00,Social,Mobile,East,A,1,1,1,1,1,11.23,5
158,2025-01-07 13:00:00,Social,Desktop,East,B,1,1,1,1,0,11.32,1
159,2025-01-07 14:00:00,Organic,Mobile,North,A,1,1,0,0,0,7.51,4
160,2025-01-07 15:00:00,Social,Mobile,South,A,1,1,1,0,0,7.02,5
161,2025-01-07 16:00:00,Ads,Desktop,South,A,1,1,1,1,0,3.46,2
162,2025-01-07 17:00:00,Ads,Mobile,West,B,1,1,0,0,0,9.74,5
163,2025-01-07 18:00:00,Ads,Mobile,North,A,1,1,1,0,0,12.13,1
164,2025-01-07 19:00:00,Ads,Mobile,West,A,1,1,1,1,1,6.41,3
165,2025-01-07 20:00:00,Organic,Mobile,East,B,1,1,1,1,1,7.71,1
166,2025-01-07 21:00:00,Social,Tablet,West,B,1,1,1,1,0,9.09,2
167,2025-01-07 22:00:00,Organic,Mobile,East,B,1,1,1,0,0,12.31,1
168,2025-01-07 23:00:00,Organic,Mobile,East,B,1,1,0,0,0,8.5,4
169,2025-01-08 00:00:00,Organic,Mobile,South,A,1,1,1,1,1,8.49,1
170,2025-01-08 01:00:00,Ads,Desktop,South,A,1,1,0,0,0,8.45,5
171,2025-01-08 02:00:00,Social,Mobile,South,B,1,1,1,1,1,4.44,3
172,2025-01-08 03:00:00,Organic,Desktop,South,A,1,1,1,1,0,4.38,4
173,2025-01-08 04:00:00,Ads,Mobile,South,B,1,1,0,0,0,5.98,4
174,2025-01-08 05:00:00,Organic,Mobile,North,B,1,1,0,0,0,10.53,4
175,2025-01-08 06:00:00,Ads,Mobile,South,B,1,0,0,0,0,7.16,2
176,2025-01-08 07:00:00,Organic,Desktop,West,A,1,1,0,0,0,6.68,2
177,2025-01-08 08:00:00,Social,Desktop,East,B,1,1,0,0,0,6.63,5
178,2025-01-08 09:00:00,Ads,Mobile,South,A,1,1,1,0,0,7.66,3
179,2025-01-08 10:00:00,Referral,Desktop,North,A,1,1,1,1,1,12.26,1
180,2025-01-08 11:00:00,Organic,Tablet,West,A,1,1,0,0,0,7.62,5
181,2025-01-08 12:00:00,Organic,Mobile,West,B,1,1,1,0,0,6.03,2
182,2025-01-08 13:00:00,Organic,Desktop,East,A,1,1,1,1,0,8.06,5
183,2025-01-08 14:00:00,Referral,Mobile,West,B,1,1,1,1,1,12.39,3
184,2025-01-08 15:00:00,Referral,Tablet,West,A,1,1,0,0,0,6.74,5
185,2025-01-08 16:00:00,Organic,Desktop,West,A,1,1,1,1,1,5.05,4
186,2025-01-08 17:00:00,Social,Tablet,West,A,1,1,1,0,0,6.75,1
187,2025-01-08 18:00:00,Social,Desktop,North,B,1,1,1,1,1,8.32,2
188,2025-01-08 19:00:00,Ads,Mobile,East,B,1,1,0,0,0,9.72,2
189,2025-01-08 20:00:00,Ads,Tablet,South,B,1,1,1,1,0,10.52,3
190,2025-01-08 21:00:00,Organic,Mobile,West,B,1,1,1,0,0,5.39,3
191,2025-01-08 22:00:00,Organic,Mobile,North,A,1,0,0,0,0,5.62,3
192,2025-01-08 23:00:00,Referral,Desktop,East,A,1,1,0,0,0,7.19,2
193,2025-01-09 00:00:00,Referral,Desktop,South,B,1,1,0,0,0,9.71,4
194,2025-01-09 01:00:00,Ads,Tablet,East,B,1,1,0,0,0,4.85,1
195,2025-01-09 02:00:00,Organic,Mobile,North,B,1,1,0,0,0,6.48,3
196,2025-01-09 03:00:00,Organic,Desktop,North,B,1,1,1,1,1,6.52,2
197,2025-01-09 04:00:00,Social,Desktop,North,A,1,0,0,0,0,10.35,4
198,2025-01-09 05:00:00,Referral,Mobile,West,B,1,0,0,0,0,9.32,3
199,2025-01-09 06:00:00,Referral,Mobile,North,B,1,1,1,0,0,10.26,3
200,2025-01-09 07:00:00,Social,Mobile,South,A,1,1,1,1,1,11.35,1
201,2025-01-09 08:00:00,Ads,Mobile,West,B,1,1,0,0,0,7.24,1
202,2025-01-09 09:00:00,Organic,Tablet,East,A,1,1,1,1,0,5.03,5
203,2025-01-09 10:00:00,Organic,Desktop,South,B,1,1,0,0,0,5.05,3
204,2025-01-09 11:00:00,Referral,Desktop,West,A,1,1,0,0,0,3.4,5
205,2025-01-09 12:00:00,Ads,Tablet,North,B,1,1,1,1,0,6.85,2
206,2025-01-09 13:00:00,Organic,Mobile,East,B,1,1,1,1,0,7.04,1
207,2025-01-09 14:00:00,Organic,Desktop,North,B,1,1,1,0,0,9.97,4
208,2025-01-09 15:00:00,Social,Mobile,South,B,1,1,1,0,0,8.04,3
209,2025-01-09 16:00:00,Organic,Desktop,South,B,1,1,1,1,1,6.77,3
210,2025-01-09 17:00:00,Organic,Mobile,West,A,1,1,0,0,0,7.71,5
211,2025-01-09 18:00:00,Ads,Tablet,South,B,1,0,0,0,0,5.4,1
212,2025-01-09 19:00:00,Social,Mobile,East,A,1,1,1,0,0,10.56,5
213,2025-01-09 20:00:00,Social,Mobile,West,A,1,0,0,0,0,6.04,3
214,2025-01-09 21:00:00,Organic,Desktop,East,A,1,1,1,1,0,5.15,1
215,2025-01-09 22:00:00,Social,Mobile,North,A,1,1,1,1,1,10.04,3
216,2025-01-09 23:00:00,Organic,Desktop,East,B,1,1,0,0,0,9.44,1
217,2025-01-10 00:00:00,Organic,Mobile,East,B,1,0,0,0,0,3.69,3
218,2025-01-10 01:00:00,Social,Desktop,South,B,1,1,0,0,0,10.14,4
219,2025-01-10 02:00:00,Ads,Mobile,North,B,1,1,0,0,0,6.15,5
220,2025-01-10 03:00:00,Social,Mobile,South,A,1,1,0,0,0,7.06,1
221,2025-01-10 04:00:00,Social,Mobile,North,A,1,0,0,0,0,8.47,5
222,2025-01-10 05:00:00,Ads,Mobile,North,A,1,0,0,0,0,9.47,1
223,2025-01-10 06:00:00,Organic,Mobile,East,B,1,0,0,0,0,9.11,1
224,2025-01-10 07:00:00,Ads,Mobile,South,B,1,0,0,0,0,7.88,1
225,2025-01-10 08:00:00,Organic,Mobile,East,B,1,1,1,0,0,6.94,3
226,2025-01-10 09:00:00,Organic,Mobile,East,B,1,1,1,0,0,9.03,2
227,2025-01-10 10:00:00,Referral,Desktop,East,A,1,1,1,1,1,7.7,3
228,2025-01-10 11:00:00,Ads,Desktop,North,B,1,1,1,0,0,12.51,2
229,2025-01-10 12:00:00,Referral,Mobile,South,B,1,0,0,0,0,9.47,3
230,2025-01-10 13:00:00,Ads,Desktop,South,A,1,0,0,0,0,5.69,2
231,2025-01-10 14:00:00,Social,Desktop,East,A,1,1,0,0,0,6.81,1
232,2025-01-10 15:00:00,Ads,Mobile,North,B,1,1,1,1,0,8.12,1
233,2025-01-10 16:00:00,Ads,Desktop,South,B,1,0,0,0,0,11.25,2
234,2025-01-10 17:00:00,Ads,Mobile,West,A,1,1,1,0,0,11.53,2
235,2025-01-10 18:00:00,Organic,Desktop,South,B,1,1,0,0,0,7.01,5
236,2025-01-10 19:00:00,Social,Mobile,East,A,1,1,0,0,0,5.67,1
237,2025-01-10 20:00:00,Organic,Desktop,West,A,1,1,0,0,0,5.35,3
238,2025-01-10 21:00:00,Organic,Desktop,North,B,1,1,1,0,0,8.63,5
239,2025-01-10 22:00:00,Ads,Mobile,West,A,1,1,0,0,0,13.76,2
240,2025-01-10 23:00:00,Organic,Mobile,West,B,1,1,1,1,1,9.35,3
241,2025-01-11 00:00:00,Referral,Tablet,East,B,1,0,0,0,0,4.02,4
242,2025-01-11 01:00:00,Referral,Mobile,South,B,1,1,1,1,1,6.18,4
243,2025-01-11 02:00:00,Referral,Desktop,North,B,1,1,0,0,0,6.44,4
244,2025-01-11 03:00:00,Ads,Tablet,West,A,1,0,0,0,0,5.94,3
245,2025-01-11 04:00:00,Organic,Desktop,East,B,1,1,0,0,0,7.03,2
246,2025-01-11 05:00:00,Referral,Desktop,South,B,1,1,1,0,0,8.92,3
247,2025-01-11 06:00:00,Ads,Desktop,West,A,1,0,0,0,0,9.7,5
248,2025-01-11 07:00:00,Referral,Desktop,East,B,1,1,1,0,0,10.73,5
249,2025-01-11 08:00:00,Referral,Mobile,East,B,1,1,1,1,1,9.31,4
250,2025-01-11 09:00:00,Referral,Mobile,East,B,1,1,1,1,0,3.11,2
251,2025-01-11 10:00:00,Organic,Mobile,North,B,1,1,0,0,0,5.36,5
252,2025-01-11 11:00:00,Ads,Tablet,South,A,1,1,1,0,0,7.6,1
253,2025-01-11 12:00:00,Referral,Desktop,West,A,1,1,0,0,0,8.37,1
254,2025-01-11 13:00:00,Organic,Mobile,South,B,1,1,0,0,0,10.15,4
255,2025-01-11 14:00:00,Organic,Desktop,South,A,1,1,0,0,0,8.11,4
256,2025-01-11 15:00:00,Ads,Mobile,West,A,1,0,0,0,0,8.13,4
257,2025-01-11 16:00:00,Referral,Mobile,South,A,1,1,1,1,1,8.59,5
258,2025-01-11 17:00:00,Social,Desktop,North,A,1,1,1,1,1,7.36,2
259,2025-01-11 18:00:00,Ads,Mobile,West,B,1,0,0,0,0,8.22,4
260,2025-01-11 19:00:00,Organic,Desktop,West,A,1,1,1,1,1,10.81,3
261,2025-01-11 20:00:00,Ads,Mobile,East,B,1,1,1,1,1,7.79,4
262,2025-01-11 21:00:00,Referral,Desktop,South,B,1,0,0,0,0,7.92,5
263,2025-01-11 22:00:00,Organic,Desktop,West,A,1,1,1,0,0,7.92,2
264,2025-01-11 23:00:00,Ads,Mobile,West,B,1,1,0,0,0,11.24,4
265,2025-01-12 00:00:00,Referral,Tablet,North,A,1,1,1,0,0,5.23,1
266,2025-01-12 01:00:00,Social,Desktop,East,B,1,1,0,0,0,12.44,4
267,2025-01-12 02:00:00,Social,Mobile,West,B,1,1,1,1,0,5.06,4
268,2025-01-12 03:00:00,Social,Mobile,North,A,1,1,0,0,0,6.36,2
269,2025-01-12 04:00:00,Ads,Desktop,West,B,1,1,0,0,0,9.86,3
270,2025-01-12 05:00:00,Organic,Mobile,West,A,1,1,1,0,0,10.58,4
271,2025-01-12 06:00:00,Social,Mobile,West,B,1,1,0,0,0,4.49,4
272,2025-01-12 07:00:00,Social,Mobile,North,B,1,1,0,0,0,5.27,5
273,2025-01-12 08:00:00,Referral,Mobile,South,A,1,1,0,0,0,8.69,2
274,2025-01-12 09:00:00,Referral,Desktop,West,A,1,1,0,0,0,13.86,5
275,2025-01-12 10:00:00,Ads,Mobile,West,A,1,1,1,0,0,11.12,4
276,2025-01-12 11:00:00,Ads,Mobile,South,B,1,1,1,1,1,7.38,4
277,2025-01-12 12:00:00,Social,Mobile,West,A,1,1,1,1,1,1.95,1
278,2025-01-12 13:00:00,Ads,Mobile,East,A,1,1,1,0,0,8.2,5
279,2025-01-12 14:00:00,Social,Tablet,West,A,1,1,0,0,0,8.91,2
280,2025-01-12 15:00:00,Social,Mobile,East,A,1,0,0,0,0,7.04,4
281,2025-01-12 16:00:00,Referral,Tablet,South,B,1,0,0,0,0,5.87,1
282,2025-01-12 17:00:00,Organic,Mobile,North,B,1,0,0,0,0,8.4,1
283,2025-01-12 18:00:00,Ads,Mobile,South,B,1,0,0,0,0,5.64,3
284,2025-01-12 19:00:00,Organic,Desktop,West,B,1,1,0,0,0,12.68,2
285,2025-01-12 20:00:00,Ads,Mobile,East,B,1,1,1,1,0,11.79,1
286,2025-01-12 21:00:00,Organic,Desktop,North,B,1,1,0,0,0,9.64,2
287,2025-01-12 22:00:00,Ads,Tablet,West,A,1,1,0,0,0,8.22,4
288,2025-01-12 23:00:00,Ads,Mobile,North,B,1,0,0,0,0,6.35,3
289,2025-01-13 00:00:00,Organic,Mobile,North,A,1,1,1,1,1,7.95,2
290,2025-01-13 01:00:00,Ads,Desktop,West,A,1,0,0,0,0,12.1,3
291,2025-01-13 02:00:00,Organic,Mobile,South,A,1,1,1,1,1,10.17,2
292,2025-01-13 03:00:00,Organic,Mobile,West,A,1,0,0,0,0,8.51,2
293,2025-01-13 04:00:00,Social,Mobile,West,B,1,1,1,0,0,10.31,5
294,2025-01-13 05:00:00,Ads,Mobile,South,B,1,1,0,0,0,9.36,3
295,2025-01-13 06:00:00,Organic,Desktop,East,B,1,1,0,0,0,8.99,2
296,2025-01-13 07:00:00,Ads,Mobile,West,A,1,1,1,1,1,10.45,5
297,2025-01-13 08:00:00,Social,Mobile,North,B,1,0,0,0,0,9.29,5
298,2025-01-13 09:00:00,Organic,Desktop,West,B,1,1,1,0,0,10.15,3
299,2025-01-13 10:00:00,Ads,Mobile,West,B,1,1,0,0,0,8.4,4
300,2025-01-13 11:00:00,Organic,Mobile,North,B,1,1,0,0,0,7.36,3
301,2025-01-13 12:00:00,Organic,Desktop,South,B,1,0,0,0,0,6.63,2
302,2025-01-13 13:00:00,Ads,Mobile,East,B,1,1,0,0,0,6.33,4
303,2025-01-13 14:00:00,Ads,Desktop,East,A,1,1,0,0,0,3.99,3
304,2025-01-13 15:00:00,Ads,Desktop,North,A,1,1,1,1,0,5.72,3
305,2025-01-13 16:00:00,Social,Mobile,South,B,1,1,1,0,0,5.65,3
306,2025-01-13 17:00:00,Referral,Desktop,West,A,1,1,1,1,1,6.73,3
307,2025-01-13 18:00:00,Ads,Mobile,West,A,1,1,0,0,0,11.91,4
308,2025-01-13 19:00:00,Organic,Mobile,West,B,1,0,0,0,0,7.61,2
309,2025-01-13 20:00:00,Social,Desktop,West,A,1,0,0,0,0,8.6,5
310,2025-01-13 21:00:00,Organic,Desktop,West,B,1,1,1,1,1,8.68,3
311,2025-01-13 22:00:00,Ads,Mobile,North,A,1,0,0,0,0,11.97,5
312,2025-01-13 23:00:00,Organic,Desktop,West,B,1,1,0,0,0,6.56,5
313,2025-01-14 00:00:00,Organic,Tablet,West,A,1,1,1,1,1,7.44,5
314,2025-01-14 01:00:00,Referral,Tablet,South,A,1,1,0,0,0,7.73,3
315,2025-01-14 02:00:00,Social,Desktop,West,A,1,1,1,1,1,10.84,3
316,2025-01-14 03:00:00,Social,Mobile,East,A,1,0,0,0,0,11.36,3
